2026-04-18 21:33:08.702 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-04-18 21:33:08.840 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2d1cc76e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@71195725, org.springframework.security.web.context.SecurityContextHolderFilter@6d0d2ae1, org.springframework.security.web.header.HeaderWriterFilter@359d2e00, org.springframework.web.filter.CorsFilter@9d2af36, org.springframework.security.web.authentication.logout.LogoutFilter@2a039f2a, com.ticketing.config.RateLimitFilter@59b853aa, com.ticketing.config.JwtAuthenticationFilter@22c29aa8, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2905e48a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@ff2e50a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@68eb3dbc, org.springframework.security.web.session.SessionManagementFilter@709bdd17, org.springframework.security.web.access.ExceptionTranslationFilter@2b26864b, org.springframework.security.web.access.intercept.AuthorizationFilter@2c56a7b5]
2026-04-18 21:33:10.084 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-04-18 21:33:11.500 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-04-18 21:33:11.562 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-18 21:33:11.570 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api/v1'
2026-04-18 21:33:12.667 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2026-04-18 21:33:12.669 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [106.54.15.105:5672]
2026-04-18 21:33:12.831 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#62386531:0/SimpleConnection@252f60ac [delegate=amqp://rabbitmq@106.54.15.105:5672/, localPort=61988]
2026-04-18 21:33:14.039 [main] INFO  com.ticketing.TicketingSystemApplication - Started TicketingSystemApplication in 14.425 seconds (process running for 15.287)
2026-04-18 21:33:14.550 [scheduling-1] INFO  com.ticketing.agent.vector.VectorStoreService - 向量存储健康检查通过，返回结果数: 1
2026-04-18 21:33:18.045 [scheduling-1] INFO  com.ticketing.agent.ai.AiModelService - AI模型健康检查通过: true
2026-04-18 21:33:20.954 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-18 21:33:20.955 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-18 21:33:20.957 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-18 21:33:36.954 [http-nio-8080-exec-4] INFO  com.ticketing.service.impl.UserServiceImpl - SM2密码解密成功
2026-04-18 21:35:00.002 [scheduling-1] INFO  com.ticketing.task.OrderTimeoutTask - 开始检查超时未支付订单
2026-04-18 21:35:00.101 [scheduling-1] INFO  com.ticketing.task.OrderTimeoutTask - 检查超时未支付订单完成
2026-04-18 21:35:00.101 [scheduling-1] INFO  com.ticketing.task.SeatLockTask - 开始释放过期座位锁定
2026-04-18 21:35:00.138 [scheduling-1] INFO  com.ticketing.task.SeatLockTask - 释放过期座位锁定完成
2026-04-18 21:40:00.000 [scheduling-1] INFO  com.ticketing.task.SeatLockTask - 开始释放过期座位锁定
2026-04-18 21:40:00.032 [scheduling-1] INFO  com.ticketing.task.SeatLockTask - 释放过期座位锁定完成
2026-04-18 21:40:00.034 [scheduling-1] INFO  com.ticketing.task.OrderTimeoutTask - 开始检查超时未支付订单
2026-04-18 21:40:00.135 [scheduling-1] INFO  com.ticketing.task.OrderTimeoutTask - 检查超时未支付订单完成
2026-04-18 21:45:00.004 [scheduling-1] INFO  com.ticketing.task.SeatLockTask - 开始释放过期座位锁定
2026-04-18 21:45:00.038 [scheduling-1] INFO  com.ticketing.task.SeatLockTask - 释放过期座位锁定完成
2026-04-18 21:45:00.039 [scheduling-1] INFO  com.ticketing.task.OrderTimeoutTask - 开始检查超时未支付订单
